ID,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,created_at,updated_at
44,1886-03-13,Northern Ireland,England,1,6,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
45,1886-03-20,Northern Ireland,Scotland,2,7,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
46,1886-03-27,Scotland,England,1,1,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
47,1886-03-29,Wales,England,1,3,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
48,1886-04-10,Scotland,Wales,4,1,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
49,1886-11-25,United States,Canada,3,2,Friendly,Newark,United States,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
50,1887-02-05,England,Northern Ireland,7,0,British Championship,Sheffield,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
51,1887-02-19,Scotland,Northern Ireland,4,1,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
52,1887-02-26,England,Wales,4,0,British Championship,London,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
53,1887-03-12,Northern Ireland,Wales,4,1,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
54,1887-03-19,England,Scotland,2,3,British Championship,Blackburn,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
55,1887-03-21,Wales,Scotland,0,2,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
56,1888-02-04,England,Wales,5,1,British Championship,Crewe,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
57,1888-03-03,Wales,Northern Ireland,11,0,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
58,1888-03-10,Scotland,Wales,5,1,British Championship,Edinburgh,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
59,1888-03-17,Scotland,England,0,5,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
60,1888-03-24,Northern Ireland,Scotland,2,10,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
61,1888-04-07,Northern Ireland,England,1,5,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
62,1888-09-19,Scotland,Canada,4,0,Friendly,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
63,1889-02-23,England,Wales,4,1,British Championship,Stoke-on-Trent,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
64,1889-03-02,England,Northern Ireland,6,1,British Championship,Liverpool,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
65,1889-03-09,Scotland,Northern Ireland,7,0,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
66,1889-04-13,England,Scotland,2,3,British Championship,London,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
67,1889-04-15,Wales,Scotland,0,0,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
68,1889-04-27,Northern Ireland,Wales,1,3,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
69,1890-02-08,Wales,Northern Ireland,5,2,British Championship,Shrewsbury,England,TRUE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
70,1890-03-15,Northern Ireland,England,1,9,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
71,1890-03-15,Wales,England,1,3,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
72,1890-03-22,Scotland,Wales,5,0,British Championship,Paisley,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
73,1890-03-29,Northern Ireland,Scotland,1,4,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
74,1890-04-05,Scotland,England,1,1,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
75,1891-02-07,Northern Ireland,Wales,7,2,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
76,1891-03-07,England,Wales,4,1,British Championship,Sunderland,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
77,1891-03-07,England,Northern Ireland,6,1,British Championship,Wolverhampton,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
78,1891-03-21,Wales,Scotland,3,4,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
79,1891-03-28,Scotland,Northern Ireland,2,1,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
80,1891-04-06,England,Scotland,2,1,British Championship,Blackburn,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
81,1892-02-27,Wales,Northern Ireland,1,1,British Championship,Bangor,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
82,1892-03-05,Northern Ireland,England,0,2,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
83,1892-03-05,Wales,England,0,2,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
84,1892-03-19,Northern Ireland,Scotland,2,3,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
85,1892-03-26,Scotland,Wales,6,1,British Championship,Edinburgh,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
